suburb_name,commission_rate
"Emu Plains, NSW",1.93
"Jamisontown, NSW",1.93
"Leonay, NSW",1.93
"Penrith, NSW",2.02
"Penrith Plaza, NSW",1.93
"Silverdale, NSW",1.84
"Warragamba, NSW",1.84
"Agnes Banks, NSW",2.25
"Bowen Mountain, NSW",2.25
"Grose Vale, NSW",2.25
"Grose Wold, NSW",2.25
"Hobartville, NSW",2.25
"Londonderry, NSW",2.25
"Richmond, NSW",2.25
"Richmond Lowlands, NSW",2.25
"Yarramundi, NSW",2.25
"North Richmond, NSW",2.09
"Tennyson, NSW",2.09
"The Slopes, NSW",2.09
"Bligh Park, NSW",1.96
"Cattai, NSW",1.96
"Central Colo, NSW",1.96
"Clarendon, NSW",1.96
"Colo, NSW",1.96
"Colo Heights, NSW",1.96
"Cornwallis, NSW",1.96
"Cumberland Reach, NSW",1.96
"Ebenezer, NSW",1.96
"Freemans Reach, NSW",1.96
"Glossodia, NSW",1.96
"Lower Portland, NSW",1.96
"Maroota, NSW",1.96
"Mcgraths Hill, NSW",1.96
"Mellong, NSW",1.96
"Mulgrave, NSW",1.96
"Pitt Town, NSW",1.96
"Pitt Town Bottoms, NSW",1.96
"Sackville, NSW",1.96
"Sackville North, NSW",1.96
"Scheyville, NSW",1.96
"South Maroota, NSW",1.96
"South Windsor, NSW",1.96
"Upper Colo, NSW",1.96
"Wilberforce, NSW",1.96
"Windsor, NSW",1.96
"Windsor Downs, NSW",1.96
"Womerah, NSW",1.96
"Kurmond, NSW",2.09
"Berambing, NSW",2.09
"Bilpin, NSW",2.09
"Blaxlands Ridge, NSW",2.09
"East Kurrajong, NSW",2.09
"Kurrajong, NSW",2.09
"Kurrajong Heights, NSW",2.09
"Kurrajong Hills, NSW",2.09
"Mount Tomah, NSW",2.09
"Mountain Lagoon, NSW",2.23
"The Devils Wilderness, NSW",2.09
"Wheeny Creek, NSW",2.09
"Erskine Park, NSW",1.75
"St Clair, NSW",1.74
"Colyton, NSW",1.64
"North St Marys, NSW",1.84
"Oxley Park, NSW",1.84
"Ropes Crossing, NSW",1.84
"St Marys, NSW",1.89
"St Marys East, NSW",1.84
"St Marys South, NSW",1.84
"Colebee, NSW",2.09
"Dean Park, NSW",2.09
"Glendenning, NSW",2.09
"Hassall Grove, NSW",2.09
"Oakhurst, NSW",2.09
"Plumpton, NSW",2.09
"Schofields, NSW",1.84
"Acacia Gardens, NSW",1.97
"Quakers Hill, NSW",2.00
"Berkshire Park, NSW",1.64
"Box Hill, NSW",1.75
"Maraylya, NSW",1.64
"Marsden Park, NSW",1.69
"Nelson, NSW",1.64
"Oakville, NSW",1.64
"Riverstone, NSW",1.64
"Vineyard, NSW",1.64
"Eastern Creek, NSW",2.03
"Rooty Hill, NSW",2.08
"Doonside, NSW",1.84
"Woodcroft, NSW",1.84
"Glenwood, NSW",1.54
"Parklea, NSW",1.68
"Stanhope Gardens, NSW",1.68
"The Ponds, NSW",1.65
"Bidwill, NSW",1.90
"Blackett, NSW",1.90
"Dharruk, NSW",1.90
"Emerton, NSW",1.90
"Hebersham, NSW",1.90
"Lethbridge Park, NSW",1.90
"Minchinbury, NSW",1.90
"Mount Druitt, NSW",1.70
"Mount Druitt Village, NSW",1.90
"Shalvey, NSW",1.90
"Tregear, NSW",1.90
"Whalan, NSW",1.90
"Willmot, NSW",2.12
"Glenbrook, NSW",2.23
"Lapstone, NSW",2.23
"Blaxland, NSW",1.98
"Blaxland East, NSW",2.05
"Mount Riverview, NSW",2.05
"Warrimoo, NSW",2.05
"Central Macdonald, NSW",2.09
"Fernances, NSW",2.09
"Gunderman, NSW",2.09
"Higher Macdonald, NSW",2.09
"Laughtondale, NSW",2.09
"Leets Vale, NSW",2.09
"Lower Macdonald, NSW",2.09
"Marlow, NSW",2.09
"Mogo Creek, NSW",2.09
"Perrys Crossing, NSW",2.09
"Singletons Mill, NSW",2.09
"Spencer, NSW",2.09
"St Albans, NSW",2.09
"Wisemans Ferry, NSW",2.09
"Wrights Creek, NSW",2.09
"Faulconbridge, NSW",2.09
"Hawkesbury Heights, NSW",2.09
"Springwood, NSW",2.09
"Sun Valley, NSW",2.09
"Valley Heights, NSW",2.09
"Winmalee, NSW",2.09
"Yellow Rock, NSW",2.09
"Linden, NSW",2.23
"Woodford, NSW",2.23
"Hazelbrook, NSW",2.23
"Katoomba, NSW",2.23
"Leura, NSW",2.24
"Medlow Bath, NSW",2.24
"Wentworth Falls, NSW",2.23
"Lawson, NSW",2.23
"Bullaburra, NSW",2.23
"Blackheath, NSW",2.23
"Megalong, NSW",2.23
"Bell, NSW",2.23
"Dargan, NSW",2.23
"Mount Irvine, NSW",2.23
"Mount Victoria, NSW",2.23
"Mount Wilson, NSW",2.23
"Black Springs, NSW",2.84
"Chatham Valley, NSW",2.84
"Duckmaloi, NSW",2.84
"Edith, NSW",2.84
"Gingkin, NSW",2.84
"Gurnang, NSW",2.84
"Hazelgrove, NSW",2.84
"Jaunter, NSW",2.84
"Kanangra, NSW",2.84
"Mayfield, NSW",2.84
"Mount Olive, NSW",2.84
"Mount Werong, NSW",2.84
"Mozart, NSW",2.84
"Norway, NSW",2.84
"Oberon, NSW",2.84
"Porters Retreat, NSW",2.84
"Shooters Hill, NSW",2.84
"Tarana, NSW",2.84
"The Meadows, NSW",2.84
"Ben Bullen, NSW",2.66
"Blackmans Flat, NSW",2.66
"Bowenfels, NSW",2.66
"Clarence, NSW",2.66
"Cobar Park, NSW",2.66
"Corney Town, NSW",2.66
"Cullen Bullen, NSW",2.66
"Doctors Gap, NSW",2.66
"Ganbenang, NSW",2.66
"Hampton, NSW",2.66
"Hartley, NSW",2.66
"Hartley Vale, NSW",2.66
"Hassans Walls, NSW",2.66
"Hermitage Flat, NSW",2.66
"Jenolan, NSW",2.66
"Kanimbla, NSW",2.66
"Lidsdale, NSW",2.66
"Lithgow, NSW",2.66
"Little Hartley, NSW",2.66
"Littleton, NSW",2.66
"Lowther, NSW",2.66
"Marrangaroo, NSW",2.66
"Mckellars Park, NSW",2.66
"Morts Estate, NSW",2.66
"Mount Lambie, NSW",2.66
"Newnes, NSW",2.66
"Newnes Plateau, NSW",2.66
"Oaky Park, NSW",2.66
"Pottery Estate, NSW",2.66
"Rydal, NSW",2.66
"Sheedys Gully, NSW",2.66
"Sodwalls, NSW",2.66
"South Bowenfels, NSW",2.66
"South Littleton, NSW",2.66
"Springvale, NSW",2.66
"State Mine Gully, NSW",2.66
"Vale of Clwydd, NSW",2.66
"Wolgan Valley, NSW",2.66
"Wollangambe, NSW",2.66
"Carcoar, NSW",2.84
"Errowanbang, NSW",2.84
"Burnt Yards, NSW",2.84
"Mandurama, NSW",2.84
"Darbys Falls, NSW",2.84
"Roseberg, NSW",2.84
"Woodstock, NSW",2.84
"Bumbaldry, NSW",2.84
"Cowra, NSW",2.84
"Hovells Creek, NSW",2.84
"Mount Collins, NSW",2.84
"Wattamondara, NSW",2.84
"Abercrombie, NSW",2.87
"Abercrombie River, NSW",2.87
"Arkell, NSW",2.87
"Arkstone, NSW",2.87
"Bald Ridge, NSW",2.87
"Ballyroe, NSW",2.87
"Bathampton, NSW",2.87
"Bathurst, NSW",2.87
"Billywillinga, NSW",2.87
"Brewongle, NSW",2.87
"Bruinbun, NSW",2.87
"Burraga, NSW",2.87
"Caloola, NSW",2.87
"Charlton, NSW",2.87
"Clear Creek, NSW",2.87
"Copperhannia, NSW",2.87
"Cow Flat, NSW",2.87
"Crudine, NSW",2.87
"Curragh, NSW",2.87
"Dark Corner, NSW",2.87
"Dog Rocks, NSW",2.87
"Dunkeld, NSW",2.87
"Duramana, NSW",2.87
"Eglinton, NSW",2.87
"Essington, NSW",2.84
"Evans Plains, NSW",2.87
"Fitzgeralds Valley, NSW",2.87
"Forest Grove, NSW",2.87
"Fosters Valley, NSW",2.87
"Freemantle, NSW",2.87
"Gemalla, NSW",2.87
"Georges Plains, NSW",2.87
"Gilmandyke, NSW",2.87
"Glanmire, NSW",2.87
"Gormans Hill, NSW",2.87
"Gowan, NSW",2.87
"Hobbys Yards, NSW",2.87
"Isabella, NSW",2.87
"Jeremy, NSW",2.87
"Judds Creek, NSW",2.87
"Kelso, NSW",2.80
"Killongbutta, NSW",2.87
"Kirkconnell, NSW",2.87
"Laffing Waters, NSW",2.87
"Limekilns, NSW",2.87
"Llanarth, NSW",2.87
"Locksley, NSW",2.87
"Meadow Flat, NSW",2.87
"Milkers Flat, NSW",2.87
"Millah Murrah, NSW",2.87
"Mitchell, NSW",2.87
"Moorilda, NSW",2.87
"Mount David, NSW",2.87
"Mount Panorama, NSW",2.87
"Mount Rankin, NSW",2.87
"Napoleon Reef, NSW",2.87
"Newbridge, NSW",2.87
"O'Connell, NSW",2.87
"Orton Park, NSW",2.87
"Paling Yards, NSW",2.87
"Palmers Oaky, NSW",2.87
"Peel, NSW",2.87
"Perthville, NSW",2.87
"Raglan, NSW",2.87
"Robin Hill, NSW",2.87
"Rock Forest, NSW",2.87
"Rockley, NSW",2.87
"Rockley Mount, NSW",2.87
"Sofala, NSW",2.87
"South Bathurst, NSW",2.87
"Stewarts Mount, NSW",2.87
"Sunny Corner, NSW",2.87
"Tambaroora, NSW",2.87
"Tannas Mount, NSW",2.87
"The Lagoon, NSW",2.87
"Triangle Flat, NSW",2.87
"Trunkey Creek, NSW",2.87
"Turondale, NSW",2.87
"Twenty Forests, NSW",2.87
"Upper Turon, NSW",2.87
"Walang, NSW",2.87
"Wambool, NSW",2.87
"Wattle Flat, NSW",2.87
"Watton, NSW",2.87
"West Bathurst, NSW",2.87
"White Rock, NSW",2.87
"Wiagdon, NSW",2.87
"Wimbledon, NSW",2.87
"Winburndale, NSW",2.87
"Windradyne, NSW",2.87
"Wisemans Creek, NSW",2.87
"Yarras, NSW",2.87
"Yetholme, NSW",2.87
"Garland, NSW",2.84
"Lyndhurst, NSW",2.84
"Byng, NSW",2.82
"Forest Reefs, NSW",2.84
"Guyong, NSW",2.84
"Millthorpe, NSW",2.84
"Spring Terrace, NSW",2.84
"Tallwood, NSW",2.84
"Barry, NSW",2.84
"Blayney, NSW",2.84
"Browns Creek, NSW",2.84
"Fitzgeralds Mount, NSW",2.84
"Kings Plains, NSW",2.84
"Neville, NSW",2.84
"Vittoria, NSW",2.84
"Belgravia, NSW",2.82
"Cadia, NSW",2.82
"Canobolas, NSW",2.82
"Cargo, NSW",2.82
"Clergate, NSW",2.82
"Clifton Grove, NSW",2.82
"Emu Swamp, NSW",2.82
"Four Mile Creek, NSW",2.82
"Huntley, NSW",2.82
"Kangaroobie, NSW",2.82
"Kerrs Creek, NSW",2.82
"March, NSW",2.82
"Mullion Creek, NSW",2.82
"Nangar, NSW",2.82
"Nashdale, NSW",2.82
"Ophir, NSW",2.82
"Orange, NSW",2.82
"Orange East, NSW",2.82
"Panuara, NSW",2.82
"Shadforth, NSW",2.82
"Spring Creek, NSW",2.82
"Spring Hill, NSW",2.82
"Springside, NSW",2.82
"Summer Hill Creek, NSW",2.82
"Waldegrave, NSW",2.82
"Windera, NSW",2.82
"Bendick Murrell, NSW",2.84
"Crowther, NSW",2.84
"Wirrimah, NSW",2.84
"Billimari, NSW",2.84
"Canowindra, NSW",2.84
"Moorbel, NSW",2.84
"Nyrang Creek, NSW",2.84
"Gooloogong, NSW",2.84
"Eugowra, NSW",2.84
"Koorawatha, NSW",2.84
"Wyangala, NSW",2.84
"Greenethorpe, NSW",2.84
"Bimbi, NSW",2.84
"Caragabal, NSW",2.84
"Glenelg, NSW",2.84
"Grenfell, NSW",2.84
"Piney Range, NSW",2.84
"Pinnacle, NSW",2.84
"Pullabooka, NSW",2.84
"Warraderry, NSW",2.84
"Apsley, NSW",2.69
"Arthurville, NSW",2.69
"Bakers Swamp, NSW",2.69
"Bodangora, NSW",2.69
"Comobella, NSW",2.69
"Curra Creek, NSW",2.69
"Dripstone, NSW",2.69
"Farnham, NSW",2.69
"Gollan, NSW",2.69
"Lake Burrendong, NSW",2.69
"Maryvale, NSW",2.69
"Medway, NSW",2.69
"Montefiores, NSW",2.69
"Mookerawa, NSW",2.69
"Mount Aquila, NSW",2.69
"Mount Arthur, NSW",2.69
"Mumbil, NSW",2.69
"Nanima, NSW",2.69
"Neurea, NSW",2.69
"Spicers Creek, NSW",2.69
"Stuart Town, NSW",2.69
"Suntop, NSW",2.69
"Walmer, NSW",2.69
"Wellington, NSW",2.69
"Wuuluman, NSW",2.69
"Yarragal, NSW",2.69
"Burroway, NSW",2.69
"Narromine, NSW",2.69
"Bundemar, NSW",2.69
"Cathundral, NSW",2.69
"Dandaloo, NSW",2.69
"Gin Gin, NSW",2.69
"Trangie, NSW",2.69
"Beemunnel, NSW",2.69
"Eenaweena, NSW",2.69
"Marthaguy, NSW",2.69
"Mount Foster, NSW",2.69
"Mount Harris, NSW",2.69
"Mumblebone Plain, NSW",2.69
"Oxley, NSW",2.69
"Pigeonbah, NSW",2.69
"Ravenswood, NSW",2.69
"Red Hill, NSW",2.69
"Snakes Plain, NSW",2.69
"Tenandra, NSW",2.69
"Warren, NSW",2.69
"Babinda, NSW",2.69
"Bobadah, NSW",2.69
"Buddabadah, NSW",2.69
"Canonba, NSW",2.69
"Five Ways, NSW",2.69
"Honeybugle, NSW",2.69
"Miandetta, NSW",2.69
"Mulla, NSW",2.69
"Mullengudgery, NSW",2.69
"Murrawombie, NSW",2.69
"Nyngan, NSW",2.69
"Pangee, NSW",2.69
"Bearbong, NSW",2.69
"Biddon, NSW",2.69
"Breelong, NSW",2.69
"Collie, NSW",2.69
"Curban, NSW",2.69
"Gilgandra, NSW",2.69
"Merrigal, NSW",2.69
"Black Hollow, NSW",2.69
"Bourbah, NSW",2.69
"Gulargambone, NSW",2.69
"Mount Tenandra, NSW",2.69
"Quanda, NSW",2.69
"Tonderburine, NSW",2.69
"Warrumbungle, NSW",2.69
"Billeroy, NSW",2.69
"Combara, NSW",2.69
"Conimbia, NSW",2.69
"Coonamble, NSW",2.69
"Gilgooma, NSW",2.69
"Magometon, NSW",2.69
"Nebea, NSW",2.69
"Pine Grove, NSW",2.69
"Teridgerie, NSW",2.69
"Urawilkie, NSW",2.69
"Wingadee, NSW",2.69
"Ballimore, NSW",2.52
"Barbigal, NSW",2.52
"Beni, NSW",2.52
"Boothenba, NSW",2.52
"Brocklehurst, NSW",2.52
"Bruah, NSW",2.52
"Bunglegumbie, NSW",2.52
"Burrabadine, NSW",2.52
"Butlers Falls, NSW",2.52
"Coolbaggie, NSW",2.52
"Cumboogle, NSW",2.52
"Dubbo, NSW",2.52
"Dubbo East, NSW",2.52
"Dubbo Grove, NSW",2.52
"Dubbo West, NSW",2.52
"Eschol, NSW",2.52
"Eulomogo, NSW",2.52
"Glengerra, NSW",2.52
"Goonoo Forest, NSW",2.52
"Jones Creek, NSW",2.52
"Kickabil, NSW",2.52
"Minore, NSW",2.52
"Mogriguy, NSW",2.52
"Mountain Creek, NSW",2.52
"Muronbung, NSW",2.52
"Murrumbidgerie, NSW",2.52
"Rawsonville, NSW",2.52
"Terramungamine, NSW",2.52
"Toongi, NSW",2.52
"Wambangalang, NSW",2.52
"Yarrabar, NSW",2.52
"Armatree, NSW",2.69
"Balladoran, NSW",2.69
"Brenda, NSW",2.69
"Bullagreen, NSW",2.69
"Byrock, NSW",2.69
"Carinda, NSW",2.69
"Coolabah, NSW",2.69
"Elong Elong, NSW",2.69
"Eumungerie, NSW",2.69
"Geurie, NSW",2.69
"Girilambone, NSW",2.69
"Goodooga, NSW",2.69
"Gungalman, NSW",2.69
"Hermidale, NSW",2.69
"Macquarie Marshes, NSW",2.69
"Merrygoen, NSW",2.69
"Neilrex, NSW",2.69
"Nevertire, NSW",2.69
"Nubingerie, NSW",2.69
"Nymagee, NSW",2.69
"Pine Clump, NSW",2.69
"Ponto, NSW",2.69
"Quambone, NSW",2.69
"Terrabella, NSW",2.69
"The Marra, NSW",2.69
"Tooloon, NSW",2.69
"Tooraweenah, NSW",2.69
"Westella, NSW",2.69
"Wongarbon, NSW",2.69
"Come By Chance, NSW",2.69
"Cryon, NSW",2.69
"Cumborah, NSW",2.69
"Walgett, NSW",2.69
"Collarenebri, NSW",2.69
"Angledool, NSW",2.69
"Lightning Ridge, NSW",2.69
"Bulla, NSW",2.69
"Canbelego, NSW",2.69
"Cobar, NSW",2.69
"Cubba, NSW",2.69
"Gilgunnia, NSW",2.69
"Irymple, NSW",2.69
"Kerrigundi, NSW",2.69
"Kulwin, NSW",2.69
"Lerida, NSW",2.69
"Noona, NSW",2.69
"Sandy Creek, NSW",2.69
"Tindarey, NSW",2.69
"White Cliffs, NSW",2.69
"Wilcannia, NSW",2.69
"Bogan, NSW",2.69
"Brewarrina, NSW",2.69
"Collerina, NSW",2.69
"Gongolgon, NSW",2.69
"Narran Lake, NSW",2.69
"Talawanta, NSW",2.69
"Weilmoringle, NSW",2.69
"Bourke, NSW",2.69
"Enngonia, NSW",2.69
"Fords Bridge, NSW",2.69
"Gumbalie, NSW",2.69
"Gunderbooka, NSW",2.69
"Hungerford, NSW",2.69
"Louth, NSW",2.69
"Tilpa, NSW",2.69
"Wanaaring, NSW",2.69
"Yantabulla, NSW",2.69
"Mendooran, NSW",2.69
"Mollyan, NSW",2.69
"Wattle Springs, NSW",2.69
"Yarragrin, NSW",2.69
"Gunning Gap, NSW",2.84
"Broken Hill West, NSW",3.16
"Broughams Gate, NSW",3.16
"Fowlers Gap, NSW",3.16
"Little Topar, NSW",3.16
"Milparinka, NSW",3.16
"Mutawintji, NSW",3.16
"Packsaddle, NSW",3.16
"Silverton, NSW",3.16
"South Broken Hill, NSW",3.16
"Tibooburra, NSW",3.16
"Lord Howe Island, NSW",2.61
"Norfolk Island, NSW",2.61
"Greenway, ACT",1.81
"Tuggeranong, ACT",1.81
"Kambah, ACT",1.74
"Kambah Village, ACT",1.74
"Oxley, ACT",1.81
"Wanniassa, ACT",1.81
"Fadden, ACT",1.84
"Gowrie, ACT",1.84
"Macarthur, ACT",1.84
"Monash, ACT",1.77
"Bonython, ACT",1.83
"Calwell, ACT",1.73
"Chisholm, ACT",1.83
"Gilmore, ACT",1.83
"Isabella Plains, ACT",1.83
"Richardson, ACT",1.83
"Theodore, ACT",1.83
"Banks, ACT",1.89
"Conder, ACT",1.72
"Gordon, ACT",1.72
"Crace, ACT",1.85
"Mitchell, ACT",1.85
"Gungahlin, ACT",2.07
"Casey, ACT",1.96
"Franklin, ACT",1.93
"Ginninderra Village, ACT",1.90
"Kinlyside, ACT",1.90
"Ngunnawal, ACT",2.04
"Nicholls, ACT",1.72
"Palmerston, ACT",1.90
"Taylor, ACT",1.90
"Amaroo, ACT",2.01
"Bonner, ACT",1.36
"Forde, ACT",1.79
"Harrison, ACT",1.79
"Moncrieff, ACT",1.68
"Melbourne, VIC",2.75
"East Melbourne, VIC",2.00
"West Melbourne, VIC",2.00
"Melbourne, VIC",2.09
"St Kilda Road Central, VIC",2.09
"South Wharf, VIC",2.14
"Southbank, VIC",2.14
"Docklands, VIC",2.03
"Footscray, VIC",1.86
"Seddon, VIC",1.65
"Seddon West, VIC",1.80
"Brooklyn, VIC",1.82
"Kingsville, VIC",2.29
"Kingsville West, VIC",1.82
"Maidstone, VIC",1.53
"Tottenham, VIC",1.82
"West Footscray, VIC",1.82
"Yarraville, VIC",1.46
"Yarraville West, VIC",1.46
"Newport, VIC",1.52
"South Kingsville, VIC",1.41
"Spotswood, VIC",1.41
"Williamstown, VIC",1.33
"Williamstown North, VIC",1.28
"Altona, VIC",1.71
"Seaholme, VIC",1.71
"Braybrook, VIC",1.55
"Braybrook North, VIC",1.55
"Robinson, VIC",1.55
"Albion, VIC",1.63
"Glengala, VIC",1.63
"Sunshine, VIC",1.46
"Sunshine North, VIC",1.85
"Sunshine West, VIC",1.49
"Albanvale, VIC",1.69
"Kealba, VIC",1.69
"Kings Park, VIC",1.60
"St Albans, VIC",1.76
"Ardeer, VIC",1.60
"Deer Park East, VIC",1.60
"Burnside, VIC",1.77
"Burnside Heights, VIC",1.52
"Cairnlea, VIC",1.75
"Caroline Springs, VIC",1.80
"Deer Park, VIC",1.80
"Deer Park North, VIC",1.75
"Ravenhall, VIC",1.75
"Mambourin, VIC",1.90
"Mount Cottrell, VIC",1.90
"Wyndham Vale, VIC",2.01
"Altona East, VIC",1.71
"Altona Gate, VIC",1.71
"Altona North, VIC",1.71
"Laverton North, VIC",1.71
"Williams Landing, VIC",1.59
"Altona Meadows, VIC",1.56
"Laverton, VIC",1.64
"Seabrook, VIC",1.80
"Hoppers Crossing, VIC",1.86
"Tarneit, VIC",1.64
"Truganina, VIC",1.70
"Cocoroc, VIC",1.79
"Derrimut, VIC",1.79
"Point Cook, VIC",1.70
"Quandong, VIC",1.79
"Werribee, VIC",1.86
"Werribee South, VIC",1.79
"Flemington, VIC",1.94
"Kensington, VIC",1.84
"Ascot Vale, VIC",1.57
"Highpoint City, VIC",1.91
"Maribyrnong, VIC",1.98
"Travancore, VIC",1.91
"Keilor East, VIC",1.77
"Avondale Heights, VIC",1.77
"Keilor, VIC",1.77
"Keilor North, VIC",1.77
"Calder Park, VIC",1.91
"Delahey, VIC",1.91
"Hillside, VIC",1.92
"Sydenham, VIC",2.23
"Taylors Hill, VIC",1.77
"Keilor Downs, VIC",1.79
"Keilor Lodge, VIC",1.80
"Taylors Lakes, VIC",1.85
"Watergardens, VIC",1.80
"Moonee Ponds, VIC",1.69
"Aberfeldie, VIC",1.81
"Essendon, VIC",1.83
"Essendon West, VIC",1.81
"Essendon Fields, VIC",1.65
"Essendon North, VIC",1.89
"Strathmore, VIC",1.39
"Strathmore Heights, VIC",1.65
"Airport West, VIC",1.34
"Keilor Park, VIC",1.34
"Niddrie, VIC",1.34
"Gladstone Park, VIC",1.45
"Gowanbrae, VIC",1.45
"Tullamarine, VIC",1.45
"Pascoe Vale, VIC",1.63
"Pascoe Vale South, VIC",1.59
"Glenroy, VIC",1.89
"Hadfield, VIC",1.88
"Oak Park, VIC",1.74
"Broadmeadows, VIC",1.84
"Dallas, VIC",1.92
"Jacana, VIC",1.98
"Coolaroo, VIC",1.85
"Meadow Heights, VIC",1.76
"Attwood, VIC",1.90
"Westmeadows, VIC",1.92
"Hotham Hill, VIC",1.49
"North Melbourne, VIC",1.49
"Parkville, VIC",2.00
"Carlton, VIC",2.41
"Carlton South, VIC",2.41
"Carlton North, VIC",2.00
"Princes Hill, VIC",2.00
"Brunswick South, VIC",1.96
"Brunswick West, VIC",1.96
"Moonee Vale, VIC",1.96
"Moreland West, VIC",1.96
"Brunswick, VIC",1.96
"Brunswick Lower, VIC",1.96
"Brunswick North, VIC",1.96
"Brunswick East, VIC",2.09
"Lygon Street North, VIC",2.09
"Sumner, VIC",2.09
"Batman, VIC",1.60
"Coburg, VIC",1.66
"Coburg North, VIC",1.60
"Merlynston, VIC",1.60
"Moreland, VIC",1.60
"Greenvale, VIC",1.87
"Fawkner, VIC",1.77
"Fawkner East, VIC",1.77
"Fawkner North, VIC",1.77
"Campbellfield, VIC",1.77
"Somerton, VIC",1.77
"Oaklands Junction, VIC",1.77
"Yuroke, VIC",1.77
"Craigieburn, VIC",1.96
"Donnybrook, VIC",1.75
"Kalkallo, VIC",1.49
"Mickleham, VIC",1.79
"Roxburgh Park, VIC",1.84
"Fitzroy, VIC",2.00
"Collingwood, VIC",2.00
"Collingwood North, VIC",2.00
"Abbotsford, VIC",1.78
"Clifton Hill, VIC",2.00
"Fitzroy North, VIC",2.00
"Northcote, VIC",1.59
"Northcote South, VIC",1.59
"Thornbury, VIC",1.64
"Gilberton, VIC",1.62
"Preston, VIC",1.62
"Preston Lower, VIC",1.62
"Preston South, VIC",1.62
"Preston West, VIC",1.62
"Regent West, VIC",1.62
"Keon Park, VIC",1.79
"Reservoir, VIC",1.79
"Reservoir East, VIC",1.79
"Reservoir North, VIC",1.79
"Reservoir South, VIC",1.79
"Thomastown, VIC",1.61
"Lalor, VIC",1.89
"Epping, VIC",1.97
"Alphington, VIC",1.77
"Fairfield, VIC",1.77
"Ivanhoe, VIC",1.86
"Ivanhoe East, VIC",1.86
"Ivanhoe North, VIC",1.86
"Bellfield, VIC",1.70
"Heidelberg Heights, VIC",1.59
"Heidelberg Rgh, VIC",1.70
"Heidelberg West, VIC",1.77
"Mill Park, VIC",1.78
"Bundoora, VIC",2.10
"Kingsbury, VIC",1.98
"Banyule, VIC",1.76
"Eaglemont, VIC",1.76
"Heidelberg, VIC",1.64
"Rosanna, VIC",1.76
"Viewbank, VIC",1.76
"Macleod, VIC",1.45
"Macleod West, VIC",1.45
"Yallambie, VIC",1.45
"Watsonia, VIC",1.49
"Watsonia North, VIC",1.49
"Briar Hill, VIC",1.79
"Greensborough, VIC",1.79
"St Helena, VIC",1.79
"Diamond Creek, VIC",1.80
"Plenty, VIC",1.77
"Yarrambat, VIC",1.77
"Lower Plenty, VIC",1.77
"Montmorency, VIC",1.77
"Eltham, VIC",1.62
"Eltham North, VIC",1.56
"Research, VIC",1.56
"Wattle Glen, VIC",1.77
"Bend of Islands, VIC",1.75
"Kangaroo Ground, VIC",1.85
"Watsons Creek, VIC",1.75
"Arthurs Creek, VIC",1.85
"Cottles Bridge, VIC",1.85
"Hurstbridge, VIC",1.85
"Nutfield, VIC",1.85
"Strathewen, VIC",1.85
"Cotham, VIC",1.62
"Kew, VIC",1.62
"Kew East, VIC",1.75
"Balwyn, VIC",1.75
"Balwyn East, VIC",1.75
"Balwyn North, VIC",1.75
"Greythorn, VIC",1.75
"Bulleen, VIC",1.33
"Bulleen South, VIC",1.33
"Templestowe, VIC",1.56
"Templestowe Lower, VIC",1.59
"Doncaster, VIC",1.64
"Doncaster East, VIC",1.57
"Doncaster Heights, VIC",1.57
"The Pines, VIC",1.57
"Tunstall Square PO, VIC",1.57
"Donvale, VIC",1.75
"North Warrandyte, VIC",1.85
"Warrandyte, VIC",1.85
"Park Orchards, VIC",1.75
"Wonga Park, VIC",1.75
"Chirnside Park, VIC",1.75
"Burnley, VIC",2.04
"Burnley North, VIC",2.04
"Cremorne, VIC",2.04
"Richmond, VIC",2.02
"Richmond East, VIC",2.04
"Richmond North, VIC",2.04
"Richmond South, VIC",2.04
"Auburn South, VIC",1.83
"Glenferrie South, VIC",1.83
"Hawthorn, VIC",1.83
"Hawthorn North, VIC",1.83
"Hawthorn West, VIC",1.83
"Auburn, VIC",1.75
"Hawthorn East, VIC",1.75
"Camberwell, VIC",1.74
"Camberwell North, VIC",1.74
"Camberwell South, VIC",1.74
"Camberwell West, VIC",1.74
"Hartwell, VIC",1.74
"Middle Camberwell, VIC",1.74
"Bennettswood, VIC",1.75
"Burwood, VIC",1.75
"Surrey Hills South, VIC",1.75
"Camberwell East, VIC",1.75
"Canterbury, VIC",1.75
"Mont Albert, VIC",1.75
"Surrey Hills, VIC",1.75
"Surrey Hills North, VIC",1.75
"Box Hill, VIC",1.45
"Box Hill Central, VIC",1.46
"Box Hill South, VIC",1.46
"Houston, VIC",1.46
"Wattle Park, VIC",1.46
"Box Hill North, VIC",1.68
"Kerrimuir, VIC",1.69
"Mont Albert North, VIC",1.70
"Blackburn, VIC",1.35
"Blackburn North, VIC",1.85
"Blackburn South, VIC",1.63
"Laburnum, VIC",1.63
"Brentford Square, VIC",1.65
"Forest Hill, VIC",1.65
"Nunawading, VIC",1.75
"Mitcham, VIC",1.55
"Mitcham North, VIC",1.55
"Rangeview, VIC",1.55
"Vermont, VIC",1.61
"Vermont South, VIC",1.29
"Heathwood, VIC",1.74
"Ringwood, VIC",1.72
"Ringwood North, VIC",1.83
"Warrandyte South, VIC",1.74
"Warranwood, VIC",1.74
"Bedford Road, VIC",1.69
"Heathmont, VIC",1.69
"Ringwood East, VIC",1.70
"Croydon, VIC",1.89
"Croydon Hills, VIC",1.86
