suburb_name,commission_rate
"Mount Zeil, NT",2.55
"Mulga Bore, NT",2.55
"Murputja Homelands, NT",2.55
"Mutitjulu, NT",2.55
"Namatjira, NT",2.55
"Ngaanyatjarra-Giles, WA",2.36
"Nyapari, NT",2.55
"Nyirripi, NT",2.55
"Papunya, NT",2.55
"Patjarr, NT",2.55
"Petermann, NT",2.55
"Pitjantjatjara Homelands, NT",2.55
"Sandover, NT",2.55
"Santa Teresa, NT",2.55
"Simpson, NT",2.55
"Tanami, NT",2.55
"Tara, NT",2.55
"Ti Tree, NT",2.55
"Titjikala, NT",2.55
"Tjirrkarli, NT",2.55
"Tjukurla, NT",2.55
"Uluru, NT",2.55
"Umpangara, NT",2.55
"Urapuntja, NT",2.55
"Wallace Rockhole, NT",2.55
"Wanarn, NT",2.55
"Willowra, NT",2.55
"Wilora, NT",2.55
"Wingellina, NT",2.55
"Wutunugurra, NT",2.55
"Yuelamu, NT",2.55
"Yuendumu, NT",2.55
"Yulara, NT",2.55
"Gapuwiyak, NT",2.54
"Gove, NT",2.54
"Gunyangara, NT",2.54
"Nhulunbuy, NT",2.54
"Yirrkala, NT",2.54
"Alyangula, NT",2.54
"Jabiru, NT",2.54
"Barangaroo, NSW",1.74
"Dawes Point, NSW",1.74
"Haymarket, NSW",1.74
"Millers Point, NSW",1.74
"Sydney, NSW",1.74
"Sydney South, NSW",1.74
"The Rocks, NSW",1.74
"Broadway, NSW",1.74
"Ultimo, NSW",1.62
"Chippendale, NSW",1.68
"Darlington, NSW",1.61
"Pyrmont, NSW",1.80
"Darlinghurst, NSW",1.70
"Surry Hills, NSW",1.62
"Elizabeth Bay, NSW",1.62
"Potts Point, NSW",1.62
"Rushcutters Bay, NSW",1.62
"Woolloomooloo, NSW",1.62
"Alexandria, NSW",1.78
"Beaconsfield, NSW",1.78
"Eveleigh, NSW",1.78
"Redfern, NSW",1.80
"Waterloo, NSW",1.77
"Zetland, NSW",1.79
"Eastlakes, NSW",1.77
"Rosebery, NSW",1.77
"Banksmeadow, NSW",1.53
"Botany, NSW",1.53
"Mascot, NSW",1.52
"Centennial Park, NSW",1.72
"Moore Park, NSW",1.72
"Paddington, NSW",1.72
"Bondi Junction, NSW",1.62
"Queens Park, NSW",1.62
"Bellevue Hill, NSW",1.62
"Bronte, NSW",1.62
"Waverley, NSW",1.62
"Woollahra, NSW",1.62
"Bondi, NSW",1.44
"Bondi Beach, NSW",1.44
"North Bondi, NSW",1.44
"Tamarama, NSW",1.44
"Darling Point, NSW",1.62
"Edgecliff, NSW",1.62
"Point Piper, NSW",1.62
"Double Bay, NSW",1.62
"Rose Bay, NSW",1.62
"Dover Heights, NSW",1.62
"Rose Bay North, NSW",1.62
"Vaucluse, NSW",1.62
"Watsons Bay, NSW",1.62
"Clovelly, NSW",1.56
"Clovelly West, NSW",1.56
"Randwick, NSW",1.56
"St Pauls, NSW",1.56
"Daceyville, NSW",1.62
"Kingsford, NSW",1.62
"Kensington, NSW",1.62
"Coogee, NSW",1.47
"South Coogee, NSW",1.48
"Maroubra, NSW",1.47
"Maroubra South, NSW",1.48
"Pagewood, NSW",1.48
"Chifley, NSW",1.62
"Eastgardens, NSW",1.62
"Hillsdale, NSW",1.62
"La Perouse, NSW",1.62
"Little Bay, NSW",1.62
"Malabar, NSW",1.62
"Matraville, NSW",1.62
"Phillip Bay, NSW",1.62
"Port Botany, NSW",1.62
"Forest Lodge, NSW",1.55
"Glebe, NSW",1.55
"Annandale, NSW",1.61
"Rozelle, NSW",1.66
"Leichhardt, NSW",1.67
"Lilyfield, NSW",1.65
"Balmain, NSW",1.55
"Balmain East, NSW",1.55
"Birchgrove, NSW",1.55
"Enmore, NSW",1.63
"Newtown, NSW",1.65
"Erskineville, NSW",1.55
"St Peters, NSW",1.70
"Sydenham, NSW",1.70
"Tempe, NSW",1.70
"Haberfield, NSW",1.55
"Abbotsford, NSW",1.30
"Canada Bay, NSW",1.30
"Chiswick, NSW",1.30
"Five Dock, NSW",1.30
"Rodd Point, NSW",1.30
"Russell Lea, NSW",1.30
"Wareemba, NSW",1.30
"Drummoyne, NSW",1.55
"Stanmore, NSW",1.66
"Westgate, NSW",1.66
"Lewisham, NSW",1.66
"Petersham, NSW",1.66
"Petersham North, NSW",1.66
"Camperdown, NSW",1.55
"Missenden Road, NSW",1.55
"Lavender Bay, NSW",1.75
"Mcmahons Point, NSW",1.75
"North Sydney, NSW",1.75
"Waverton, NSW",1.75
"Kirribilli, NSW",1.75
"Milsons Point, NSW",1.75
"Cammeray, NSW",1.75
"Northbridge, NSW",1.75
"Artarmon, NSW",1.75
"Crows Nest, NSW",1.85
"Greenwich, NSW",1.85
"Naremburn, NSW",1.85
"St Leonards, NSW",1.85
"Wollstonecraft, NSW",1.88
"Lane Cove, NSW",1.74
"Lane Cove North, NSW",1.78
"Lane Cove West, NSW",1.74
"Linley Point, NSW",1.74
"Longueville, NSW",1.74
"Northwood, NSW",1.74
"Riverview, NSW",1.74
"Chatswood, NSW",1.62
"Chatswood West, NSW",1.61
"Castlecrag, NSW",1.75
"Middle Cove, NSW",1.75
"North Willoughby, NSW",1.75
"Willoughby, NSW",1.75
"Willoughby East, NSW",1.75
"Willoughby North, NSW",1.75
"Castle Cove, NSW",1.62
"Roseville, NSW",1.62
"Roseville Chase, NSW",1.62
"East Lindfield, NSW",1.68
"Lindfield, NSW",1.68
"Lindfield West, NSW",1.68
"East Killara, NSW",1.79
"Killara, NSW",1.79
"Gordon, NSW",1.65
"Pymble, NSW",1.65
"West Pymble, NSW",1.65
"North Turramurra, NSW",1.74
"South Turramurra, NSW",1.74
"Turramurra, NSW",1.72
"Warrawee, NSW",1.74
"St Ives, NSW",1.64
"St Ives Chase, NSW",1.64
"Normanhurst, NSW",1.67
"North Wahroonga, NSW",1.67
"Wahroonga, NSW",1.65
"Asquith, NSW",1.63
"Hornsby, NSW",1.65
"Hornsby Heights, NSW",1.60
"Waitara, NSW",1.63
"Mount Colah, NSW",1.65
"Mount Kuring-Gai, NSW",1.65
"Berowra, NSW",1.70
"Cowan, NSW",1.70
"Berowra Creek, NSW",2.09
"Berowra Heights, NSW",2.09
"Berowra Waters, NSW",1.65
"Bar Point, NSW",2.09
"Brooklyn, NSW",2.09
"Cheero Point, NSW",2.09
"Cogra Bay, NSW",2.09
"Dangar Island, NSW",2.09
"Milsons Passage, NSW",2.09
"Mooney Mooney, NSW",2.09
"Cottage Point, NSW",1.67
"Duffys Forest, NSW",1.67
"Terrey Hills, NSW",1.67
"Belrose, NSW",1.42
"Belrose West, NSW",1.42
"Davidson, NSW",1.42
"Frenchs Forest, NSW",1.67
"Frenchs Forest East, NSW",1.67
"Forestville, NSW",1.50
"Killarney Heights, NSW",1.50
"Mosman, NSW",1.74
"Spit Junction, NSW",1.74
"Neutral Bay, NSW",1.82
"Neutral Bay Junction, NSW",1.82
"Cremorne, NSW",1.75
"Cremorne Junction, NSW",1.75
"Cremorne Point, NSW",1.75
"Seaforth, NSW",1.67
"Balgowlah, NSW",1.80
"Balgowlah Heights, NSW",1.80
"Clontarf, NSW",1.80
"Manly Vale, NSW",1.84
"North Balgowlah, NSW",1.80
"Fairlight, NSW",1.67
"Manly, NSW",1.72
"Manly East, NSW",1.72
"Curl Curl, NSW",1.67
"Freshwater, NSW",1.67
"Queenscliff, NSW",1.67
"Collaroy, NSW",1.83
"Collaroy Beach, NSW",1.83
"Collaroy Plateau West, NSW",1.83
"Wheeler Heights, NSW",1.83
"Cromer, NSW",1.76
"Dee Why, NSW",1.75
"Narraweena, NSW",1.76
"North Curl Curl, NSW",1.76
"Allambie Heights, NSW",1.65
"Beacon Hill, NSW",1.65
"Brookvale, NSW",1.65
"North Manly, NSW",1.65
"Oxford Falls, NSW",1.65
"Warringah Mall, NSW",1.65
